"Gene_Name","logFC","PValue","FDR"
"COA6",0.281012231778104,0.000211552464434063,0.000476804602313859
"HMGA1",-0.507682781495788,0.000212078290568787,0.000477901375290958
"ITPKB",0.220925876306502,0.000213933123757997,0.000481991999950792
"HBS1L",-0.533238874312818,0.00021424564408256,0.000482606919255449
"CDK8",0.457373556023961,0.000214332073728641,0.000482712416557522
"GGCX",0.259322459982951,0.000214492062748914,0.00048298351255486
"ATP2A2",-0.2526762098811,0.00021457190267188,0.000483074065645964
"IFNAR1",0.275959108341548,0.000214689594468336,0.000483212463373861
"MAPK12",-1.20311832637321,0.000214712649831532,0.000483212463373861
"ARRB2",-0.388145820445721,0.000214964358675794,0.00048368964500122
"TACC2",-0.797290252408215,0.000215080877624002,0.00048386251690611
"ZCWPW1",0.241930809002506,0.000215378442270106,0.000484419155463957
"SPINT2",-1.40128795615009,0.000215407779654672,0.000484419155463957
"RAB28",1.20590524888398,0.000216091507454788,0.000485867127882944
"NUDT8",1.43494594162085,0.000216462180230907,0.00048661081305458
"GTF3C2",-0.254711023671394,0.000216692883295344,0.000487039627627865
"B4GALNT4",1.49708086615312,0.000217232980469531,0.000488163551134387
"GRAMD2A",1.42594064406073,0.000218371379603399,0.00049063131012625
"MLH3",0.394268779780064,0.000218460249775036,0.000490740538973183
"REEP4",0.22030410329315,0.000219166179518312,0.000492215659653864
"CHUK",2.10866266517728,0.000219197671746438,0.000492215659653864
"CCDC114",-0.9658106441984,0.000219642961203155,0.000493124740336587
"UPK1A",0.629755438558592,0.00021971579150204,0.000493197424820727
"GEMIN7",-0.242554473895971,0.000220493768408144,0.000494798814800536
"XXYLT1",0.256591703283277,0.000220510373292701,0.000494798814800536
"CASC10",0.253052562056466,0.000220557657826439,0.000494813840000389
"SOCS4",0.401036511582321,0.000220758002298924,0.000495103481557398
"SH2D4A",-0.212567956555819,0.000220767986690675,0.000495103481557398
"KDM1B",0.652668250055994,0.000220820827454797,0.000495130900772747
"IWS1",0.419109333644911,0.000220961247814984,0.000495354647317483
